District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Nanded,100,446.5627956394008,1.6811354554223508,-15.300546448087433,795.2299294437972,RED,2021-02-07,False
Nanded,100,436.08125650147724,1.735653809971778,-4.336043360433602,659.2703043948577,RED,2021-02-08,False
Nanded,100,431.28149102540266,1.7644820698183201,-2.6954177897574163,748.2241947441638,RED,2021-02-09,False
Nanded,100,430.00975829242554,1.664758633848502,0.8595988538681847,1026.6885471419919,RED,2021-02-10,False
Nanded,100,425.37408736254156,1.210338509017263,-60.9561752988048,193.973031798487,RED,2021-02-11,False
Nanded,100,419.28207733521623,1.2181400127195343,-53.81526104417672,1091.8420654914837,RED,2021-02-12,False
Nanded,100,413.84644549265306,1.2539651070578905,-49.80237154150197,1074.2892911416207,RED,2021-02-13,False
Nanded,100,408.4928609231853,1.3005272407732864,-37.06563706563707,1217.3890277905043,RED,2021-02-14,False
Nanded,100,407.5493172825894,1.595450198802154,-6.309148264984236,1001.1031472421914,RED,2021-02-15,False
Nanded,100,399.81636179335806,1.6314385388877488,-5.0314465408805,1089.7595329414999,RED,2021-02-16,False
Nanded,100,400.4317163415727,1.6494211658641533,1.2422360248447162,1424.1547595388915,RED,2021-02-17,False
Nanded,100,405.72376545621916,1.627906976744186,3.7267080745341636,1614.5577355374064,RED,2021-02-18,False
Nanded,100,413.29262639925986,1.8611345476202292,21.066666666666666,1818.3484207858169,RED,2021-02-19,False
Nanded,100,420.2051091575382,1.5376354583618081,-6.031746031746034,1868.6267066354246,RED,2021-02-20,False
Nanded,100,430.6251128406403,1.9862817947985139,12.230215827338128,2073.9049151338236,RED,2021-02-21,False
Nanded,100,454.29575112863205,1.9730901210041538,15.560640732265448,1549.99922648791,RED,2021-02-22,False
Nanded,100,465.0439439041152,2.1436132674664785,23.66255144032922,1849.8839136855709,RED,2021-02-23,False
Nanded,100,483.13536762162715,2.2883586651948713,35.250463821892396,2620.123452529563,RED,2021-02-24,False
Nanded,100,500.3447831533647,2.48841880867462,58.64909390444811,2588.885464279807,RED,2021-02-25,False
Nanded,100,517.9234114140311,2.8594059405940593,65.51246537396122,2479.106248430663,RED,2021-02-26,False
Nanded,100,537.5737333203534,3.0334249084249083,68.17610062893081,2565.38259692999,RED,2021-02-27,False
Nanded,100,558.4547643231053,3.1403805186219054,69.70760233918128,2467.206062430756,RED,2021-02-28,False
Nanded,100,572.5668952954956,3.2886723507917175,65.46840958605665,1903.1372460351556,RED,2021-03-01,False
